symbol,name,country,ipo_year,volume,sector,industry
AEIS,Advanced Energy Industries Inc. Common Stock,United States,1995.0,91307,Technology,Industrial Machinery/Components
AFMD,Affimed N.V.,Germany,2014.0,52599,Health Care,Biotechnology: Pharmaceutical Preparations
AGEN,Agenus Inc. Common Stock,United States,2000.0,353177,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGIO,Agios Pharmaceuticals Inc. Common Stock,United States,2013.0,191150,Health Care,Biotechnology: Pharmaceutical Preparations
AGYS,Agilysys Inc. Common Stock (DE),United States,,64268,Technology,EDP Services
AIRT,Air T Inc. Common Stock,United States,,787,Consumer Discretionary,Air Freight/Delivery Services
AKAM,Akamai Technologies Inc. Common Stock,United States,1999.0,580341,Consumer Discretionary,Business Services
AKBA,Akebia Therapeutics Inc. Common Stock,United States,2014.0,1894134,Health Care,Biotechnology: Pharmaceutical Preparations
ALCO,Alico Inc. Common Stock,United States,,16755,,
ALDX,Aldeyra Therapeutics Inc. Common Stock,United States,2014.0,1258673,Health Care,Biotechnology: Pharmaceutical Preparations
ALGN,Align Technology Inc. Common Stock,United States,2001.0,627019,Health Care,Industrial Specialties
ALGT,Allegiant Travel Company Common Stock,United States,2006.0,141681,Consumer Discretionary,Air Freight/Delivery Services
ALKS,Alkermes plc Ordinary Shares,Ireland,1991.0,412746,Health Care,Biotechnology: Pharmaceutical Preparations
ALLT,Allot Ltd. Ordinary Shares,Israel,2006.0,269459,Telecommunications,Computer Communications Equipment
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,United States,2004.0,387867,Health Care,Biotechnology: Pharmaceutical Preparations
AMAT,Applied Materials Inc. Common Stock,United States,1972.0,2861602,Technology,Semiconductors
AMBA,Ambarella Inc. Ordinary Shares,United States,2012.0,252995,Technology,Semiconductors
AMBC,Ambac Financial Group Inc. Common Stock,United States,,110431,Finance,Property-Casualty Insurers
AMCX,AMC Networks Inc. Class A Common Stock,United States,,589444,Telecommunications,Cable & Other Pay Television Services
AMD,Advanced Micro Devices Inc. Common Stock,United States,,18984327,Technology,Semiconductors
AMED,Amedisys Inc Common Stock,United States,,40755,Health Care,Medical/Nursing Services
AMGN,Amgen Inc. Common Stock,United States,1983.0,1340720,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMKR,Amkor Technology Inc. Common Stock,United States,1998.0,733964,Technology,Semiconductors
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,United States,2014.0,216784,Health Care,Biotechnology: Pharmaceutical Preparations
AMRN,Amarin Corporation plc,Ireland,,662772,Health Care,Biotechnology: Pharmaceutical Preparations
AMSC,American Superconductor Corporation Common Stock,United States,1991.0,328847,Consumer Discretionary,Metal Fabrications
AMTX,Aemetis Inc. (DE) Common Stock,United States,,210335,Industrials,Major Chemicals
AMWD,American Woodmark Corporation Common Stock,United States,1986.0,48094,Basic Materials,Forest Products
AMX,America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares,Mexico,2023.0,415704,Telecommunications,Telecommunications Equipment
AMZN,Amazon.com Inc. Common Stock,United States,1997.0,33801396,Consumer Discretionary,Catalog/Specialty Distribution
ANDE,Andersons Inc. (The) Common Stock,United States,,68692,Industrials,Farming/Seeds/Milling
ANGI,Angi Inc. Class A Common Stock,United States,,239334,Consumer Discretionary,Advertising
ANGO,AngioDynamics Inc. Common Stock,United States,2004.0,179254,Health Care,Medical/Dental Instruments
ANIK,Anika Therapeutics Inc. Common Stock,United States,,24897,Health Care,Medical/Dental Instruments
ANIP,ANI Pharmaceuticals Inc.,United States,,90522,Health Care,Biotechnology: Pharmaceutical Preparations
ANY,Sphere 3D Corp. Common Shares,Canada,,159397,Finance,Finance: Consumer Services
AOSL,Alpha and Omega Semiconductor Limited Common Shares,Bermuda,2010.0,160346,Technology,Semiconductors
APDN,Applied DNA Sciences Inc. Common Stock,United States,,963312,Consumer Discretionary,Other Consumer Services
APEI,American Public Education Inc. Common Stock,United States,2007.0,31274,Real Estate,Other Consumer Services
APOG,Apogee Enterprises Inc. Common Stock,United States,,53765,Consumer Discretionary,Auto Parts:O.E.M.
APTO,Aptose Biosciences Inc. Common Shares,Canada,,28278,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
APWC,Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda),Taiwan,,1107,Industrials,Telecommunications Equipment
ARAY,Accuray Incorporated Common Stock,United States,2007.0,136197,Health Care,Medical/Dental Instruments
ARCB,ArcBest Corporation Common Stock,United States,,174366,Industrials,Trucking Freight/Courier Services
ARCC,Ares Capital Corporation Common Stock,United States,2004.0,3302260,Finance,Finance: Consumer Services
ARDX,Ardelyx Inc. Common Stock,United States,2014.0,2972801,Health Care,Biotechnology: Pharmaceutical Preparations
ARIS,Aris Water Solutions Inc. Class A Common Stock,United States,2021.0,194647,Energy,Oilfield Services/Equipment
ARKR,Ark Restaurants Corp. Common Stock,United States,,1527,Consumer Discretionary,Restaurants
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,United States,1999.0,413931,Energy,Coal Mining
AROW,Arrow Financial Corporation Common Stock,United States,,13044,Finance,Major Banks
ARRY,Array Technologies Inc. Common Stock,United States,2020.0,1517005,Consumer Discretionary,Miscellaneous manufacturing industries
ARTNA,Artesian Resources Corporation Class A Common Stock,United States,,11877,Utilities,Water Supply
ASMB,Assembly Biosciences Inc. Common Stock,United States,2010.0,30676,Health Care,Biotechnology: Pharmaceutical Preparations
ASML,ASML Holding N.V. New York Registry Shares,Netherlands,1995.0,980422,Technology,Industrial Machinery/Components
ASPS,Altisource Portfolio Solutions S.A. Common Stock,Luxembourg,,33600,Consumer Discretionary,Other Consumer Services
ASRV,AmeriServ Financial Inc. Common Stock,United States,,3120,Finance,Major Banks
ASTC,Astrotech Corporation (DE) Common Stock,United States,,586,Industrials,Biotechnology: Laboratory Analytical Instruments
ASTE,Astec Industries Inc. Common Stock,United States,1986.0,28352,Industrials,Construction/Ag Equipment/Trucks
